273091	黄磊（中国内地男演员）	1123068
63840231	安悦溪	1115965
777919	李健（中国著名男歌手）	1115575
7096060	邓文迪	1115487
97860	释小龙	1113834
394880	李承铉	1113673
83152850	南柱赫	1111309
509951	杰森·斯坦森	1110275
2292968	T-ara	1109978
80307742	白敬亭（内地男演员）	1109428
9511797	宋祖英（歌唱家）	1109128
76123	刘嘉玲（演员）	1099732
996572	秦俊杰（中国内地男演员）	1097780
97932	蔡卓妍	1097752
573421	郝蕾	1088999
67308	莱昂纳多·迪卡普里奥（莱昂纳多·迪卡普里奥昵称）	1087974
54495928	唐艺昕	1086923
101606325	孙怡（内地新生代演员）	1084543
97826	卓依婷（卓依婷）	1077866
36183622	李溪芮	1076123
98041	杜淳	1075823
141564	六小龄童	1074918
103884	刘晓庆（中国内地女演员）	1069297
248614	白冰（中国内地女演员）	1061875
66114639	安宰贤	1059502
128392373	黄致列	1055124
60469	张学友	1055036
170715	汤灿	1053750
100379525	张彬彬（中国大陆男演员）	1053058
513109	陈紫函	1051777
615638	蔡依林	1051175
97970	刘烨（中国内地男演员）	1049702
609541	金泰妍	1049061
435702	吴映洁	1046947
150566	何洁（中国内地女歌手、演员）	1046845
624779	彭于晏	1041231
158259045	迪玛希·库达依别列根	1037804
4431	马伊琍	1035836
60089934	叶倩彤	1033108
97846	陈小春（香港歌手、演员）	1031599
947802	董洁（中国内地女演员）	1029870
103329589	斯兰	1029247
6323592	金晨（中国内地女演员）	1022825
66741865	乔欣（中国内地女演员）	1017663
68910	林俊杰（流行歌手、音乐制作人）	1017658
74057	李冰冰	1015287
101975	朱亚文（中国内地男演员）	1015171
231305	张萌（中国内地女演员）	1011966
89536	林峰（中国香港男演员）	1011941
4576593	崔胜贤（韩国明星）	1010505
53973	郭德纲	1008270
6254	钟欣潼（歌唱组合Twins成员）	1000656
80466	韩红（著名音乐人、歌手）	995562
54281054	王李丹妮	995354
7870573	张伦硕	994589
89849	黄宗泽	991500
231351	甘婷婷	987856
124277	凤凰传奇（人物）	987721
406592	秋瓷炫	987187
8043910	林更新	984861
74085	李小冉	979061
94552	吴秀波	976330
6445301	海陆（中国内地女演员）	975657
66095	徐熙媛	975594
603452	周立波（中国演员主持人）	974240
111076	金钟国	972496
61411	张含韵	972133
58038	宫崎骏	971278
67894728	张云龙（中国内地男演员）	970739
629621	小泽玛丽亚	968111
5007083	杨烁（中国内地男演员）	963608
47012	SHE（台湾女子流行演唱团体）	959337
95253	梁朝伟	958046
4532946	柳菁菁	957345
5660950	孙艺洲	956356
60011353	樱井莉亚	955513
93405	那英	949209
64598715	Michael（流行音乐之王迈克尔·杰克逊）	948324
5748	李宇春（明星）	947678
74744	炎亚纶	945601
59733	李丽珍（明星）	945093
72324164	小苹果（筷子兄弟演唱歌曲）	943475
139230	张敏（中国香港女演员）	940589
102363612	陈瑶（中国内地女演员）	938154
237775	黄海波（中国内地男演员）	935856
37360	小沈阳	935763
208109	叶璇	932257
540409	谢楠	930594
53786223	小小志	929908
51693	吴彦祖	929718
68940	杨丞琳	928163
7442894	张根硕	923948
94062	古天乐	920569
230434	窦靖童（女明星）	920104
7738682	蒋劲夫	918996
150835	关之琳	918528
78879	袁弘（明星）	918427
95764	徐若瑄（人物）	917848
51599	周迅（中国内地女演员）	917175
87993	斯嘉丽·约翰逊（美国女演员、歌手和模特）	917082
9372557	阚清子	916315
147855	王珞丹（演员）	914096
827985	乔振宇（中国内地男演员）	911266
26457	李湘（节目主持人）	911007
4408	陆毅（中国著名男演员）	909420
150745	利智	908873
7589370	贾玲（中国内地女演员）	907639
80524	苏有朋	904630
92998	宋承宪	903792
69268627	王嘉尔	902787
174639	刘宪华（SJ-M）	902072
47605	韩庚（中国流行男歌手、演员）	900894
69018	甄子丹	900377
4532802	王晓晨（中国内地演员）	899610
48232	王力宏（男明星）	897409
5439390	吉澤明步	896722
1850208	泰勒·斯威芙特（美国歌手）	893571
95599	陈奕迅	886715
67632544	防弹少年团（歌手）	884815
103580	陈浩民	881075
17764	易建联	880894
231446	范·迪塞尔	877762
191887	谭晶	871277
97922	安以轩	871029
93034	李多海	870547
6786266	米露（模特，演员）	870464
530917	朴海镇	870264
7661214	关婷娜	870193
315983	向佐	868587
268154	薛佳凝	867732
248309	张晋（重庆籍男演员）	864638
462531	张梓琳（中国大陆模特、演员）	859722
157196	林凤娇	859531
145593	郭采洁	857795
66810513	苏禹	857775
44042	孙莉（青年演员）	857639
106460	胡可（中国内地女演员）	854443
562854	关悦	853686
